epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.1,1.61068,2.02678,1.75197,0.11906,0.07265,0.01575,0.0037,3.32157,6.63637,3.78532,0.000545377,0.000545377,0.000545377
2,389.75,1.73991,1.92407,1.86965,0.04923,0.06164,0.02192,0.00366,3.4814,178.373,4.64895,0.000883037,0.000883037,0.000883037
3,553.594,1.68831,1.81044,1.81438,0.21676,0.1736,0.03684,0.01061,3.0789,9.6388,3.361,0.00100065,0.00100065,0.00100065
4,839.232,1.56622,1.63322,1.73844,0.31466,0.53123,0.33779,0.17248,2.03342,2.87731,2.31726,0.000676802,0.000676802,0.000676802
5,964.402,1.44202,1.47058,1.64479,0.50809,0.51583,0.52401,0.30017,1.73831,1.82586,1.84653,0.000346736,0.000346736,0.000346736
